data_point,region,age_group,vac_interval_group,vaccine,count_vac_zab,count_vac_hosp,count_vac_severe,count_vac_death
2021.11_11-11-2022,Московская область,18+,105_165_days,AllVaccines,13481,1607,426,108
2021.11_11-11-2022,Московская область,18+,105_165_days,CoviVac,346,65,13,2
2021.11_11-11-2022,Московская область,18+,105_165_days,EpiVacCorona,571,130,34,9
2021.11_11-11-2022,Московская область,18+,105_165_days,SputnikLite,9,2,0,0
2021.11_11-11-2022,Московская область,18+,105_165_days,SputnikV,12555,1410,379,97
2021.11_11-11-2022,Московская область,18+,165_195_days,AllVaccines,2554,401,110,40
2021.11_11-11-2022,Московская область,18+,165_195_days,CoviVac,96,28,6,3
2021.11_11-11-2022,Московская область,18+,165_195_days,EpiVacCorona,101,26,9,2
2021.11_11-11-2022,Московская область,18+,165_195_days,SputnikV,2357,347,95,35
2021.11_11-11-2022,Московская область,18+,21_45_days,AllVaccines,1153,150,41,11
2021.11_11-11-2022,Московская область,18+,21_45_days,CoviVac,36,6,2,0
2021.11_11-11-2022,Московская область,18+,21_45_days,EpiVacCorona,19,8,2,1
2021.11_11-11-2022,Московская область,18+,21_45_days,SputnikLite,434,48,14,4
2021.11_11-11-2022,Московская область,18+,21_45_days,SputnikV,664,88,23,6
2021.11_11-11-2022,Московская область,18+,45_75_days,AllVaccines,2264,292,96,32
2021.11_11-11-2022,Московская область,18+,45_75_days,CoviVac,60,7,4,4
2021.11_11-11-2022,Московская область,18+,45_75_days,EpiVacCorona,55,15,4,3
2021.11_11-11-2022,Московская область,18+,45_75_days,SputnikLite,255,27,8,2
2021.11_11-11-2022,Московская область,18+,45_75_days,SputnikV,1894,243,80,23
2021.11_11-11-2022,Московская область,18+,75_90_days,AllVaccines,2372,294,81,23
2021.11_11-11-2022,Московская область,18+,75_90_days,CoviVac,96,12,6,0
2021.11_11-11-2022,Московская область,18+,75_90_days,EpiVacCorona,47,7,1,2
2021.11_11-11-2022,Московская область,18+,75_90_days,SputnikLite,96,10,4,1
2021.11_11-11-2022,Московская область,18+,75_90_days,SputnikV,2133,265,70,20
2021.11_11-11-2022,Московская область,18+,90_105_days,AllVaccines,4400,508,128,41
2021.11_11-11-2022,Московская область,18+,90_105_days,CoviVac,46,9,2,0
2021.11_11-11-2022,Московская область,18+,90_105_days,EpiVacCorona,22,6,1,1
2021.11_11-11-2022,Московская область,18+,90_105_days,SputnikLite,63,12,2,0
2021.11_11-11-2022,Московская область,18+,90_105_days,SputnikV,4269,481,123,40
2021.11_11-11-2022,Московская область,18-59,105_165_days,AllVaccines,11031,967,209,36
2021.11_11-11-2022,Московская область,18-59,105_165_days,CoviVac,256,44,5,0
2021.11_11-11-2022,Московская область,18-59,105_165_days,EpiVacCorona,353,45,7,0
2021.11_11-11-2022,Московская область,18-59,105_165_days,SputnikLite,6,0,0,0
2021.11_11-11-2022,Московская область,18-59,105_165_days,SputnikV,10416,878,197,36
2021.11_11-11-2022,Московская область,18-59,165_195_days,AllVaccines,1584,139,33,4
2021.11_11-11-2022,Московская область,18-59,165_195_days,CoviVac,59,14,2,0
2021.11_11-11-2022,Московская область,18-59,165_195_days,EpiVacCorona,45,7,1,0
2021.11_11-11-2022,Московская область,18-59,165_195_days,SputnikV,1480,118,30,4
2021.11_11-11-2022,Московская область,18-59,21_45_days,AllVaccines,776,72,16,4
2021.11_11-11-2022,Московская область,18-59,21_45_days,CoviVac,26,3,1,0
2021.11_11-11-2022,Московская область,18-59,21_45_days,EpiVacCorona,11,5,1,0
2021.11_11-11-2022,Московская область,18-59,21_45_days,SputnikLite,231,17,5,1
