data_point,region,age_group,vac_interval_group,vaccine,count_vac_zab,count_vac_hosp,count_vac_severe,count_vac_death
2022.08.B_16-09-2022,Московская область,20-29,105_165_days,AllVaccines,204,4,1,0
2022.08.B_16-09-2022,Московская область,20-29,105_165_days,EpiVacCorona,3,0,0,0
2022.08.B_16-09-2022,Московская область,20-29,105_165_days,SputnikLite,76,1,0,0
2022.08.B_16-09-2022,Московская область,20-29,105_165_days,SputnikV,125,3,1,0
2022.08.B_16-09-2022,Московская область,20-29,165_195_days,AllVaccines,301,6,0,0
2022.08.B_16-09-2022,Московская область,20-29,165_195_days,CoviVac,5,0,0,0
2022.08.B_16-09-2022,Московская область,20-29,165_195_days,EpiVacCorona,4,0,0,0
2022.08.B_16-09-2022,Московская область,20-29,165_195_days,SputnikLite,105,2,0,0
2022.08.B_16-09-2022,Московская область,20-29,165_195_days,SputnikV,187,4,0,0
2022.08.B_16-09-2022,Московская область,20-29,21_45_days,AllVaccines,59,0,0,0
2022.08.B_16-09-2022,Московская область,20-29,21_45_days,EpiVacCorona,1,0,0,0
2022.08.B_16-09-2022,Московская область,20-29,21_45_days,SputnikLite,15,0,0,0
2022.08.B_16-09-2022,Московская область,20-29,21_45_days,SputnikV,43,0,0,0
2022.08.B_16-09-2022,Московская область,20-29,45_75_days,AllVaccines,63,3,0,0
2022.08.B_16-09-2022,Московская область,20-29,45_75_days,CoviVac,1,0,0,0
2022.08.B_16-09-2022,Московская область,20-29,45_75_days,EpiVacCorona,1,0,0,0
2022.08.B_16-09-2022,Московская область,20-29,45_75_days,SputnikLite,10,1,0,0
2022.08.B_16-09-2022,Московская область,20-29,45_75_days,SputnikV,51,2,0,0
2022.08.B_16-09-2022,Московская область,20-29,75_90_days,AllVaccines,33,1,0,0
2022.08.B_16-09-2022,Московская область,20-29,75_90_days,EpiVacCorona,1,0,0,0
2022.08.B_16-09-2022,Московская область,20-29,75_90_days,SputnikLite,9,1,0,0
2022.08.B_16-09-2022,Московская область,20-29,75_90_days,SputnikV,23,0,0,0
2022.08.B_16-09-2022,Московская область,20-29,90_105_days,AllVaccines,28,1,0,0
2022.08.B_16-09-2022,Московская область,20-29,90_105_days,SputnikLite,12,0,0,0
2022.08.B_16-09-2022,Московская область,20-29,90_105_days,SputnikV,16,1,0,0
2022.08.B_16-09-2022,Московская область,30-39,105_165_days,AllVaccines,323,2,0,0
2022.08.B_16-09-2022,Московская область,30-39,105_165_days,CoviVac,2,0,0,0
2022.08.B_16-09-2022,Московская область,30-39,105_165_days,EpiVacCorona,6,0,0,0
2022.08.B_16-09-2022,Московская область,30-39,105_165_days,SputnikLite,112,0,0,0
