data_point;vaccine;region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
2021.11_01-07-2022;AllVaccines;Амурская область;-8.723538;0.48410;0.46214;0.50530;-4.907367;0.37168;0.32695;0.41397;-7.444553;0.46367;0.44422;0.48254;-5.058951;0.67853;0.63445;0.71830;-2.634686;0.61340;0.56684;0.65606;-3.737164;0.69913;0.67233;0.72421;-4.917235;0.68605;0.58068;0.76931;-1.500629;0.73403;0.67121;0.78754;-2.478793;0.77905;0.73778;0.81526;-2.516847;0.81341;0.61630;0.92274;-0.737651;0.81518;0.74334;0.87133;-1.118097;0.86547;0.81807;0.90327
2021.11_01-07-2022;AllVaccines;Вологодская область;-3.077383;0.43416;0.40921;0.45826;-4.231289;0.42982;0.39402;0.46388;-3.381453;0.43248;0.41211;0.45227;-1.733872;0.62061;0.55361;0.67960;-2.264064;0.64423;0.60115;0.68367;-1.821383;0.63455;0.59857;0.66802;-1.275135;0.68427;0.50731;0.80846;-0.783173;0.80564;0.75011;0.85165;-0.669919;0.78370;0.73032;0.82893;-0.475168;0.79528;0.56444;0.92091;-0.420454;0.84518;0.78613;0.89156;-0.250090;0.83808;0.78131;0.88345
2021.11_01-07-2022;AllVaccines;Калужская область;-7.267873;0.34987;0.31606;0.38228;-3.419788;0.47232;0.43160;0.51073;-5.676664;0.40183;0.37631;0.42651;-5.116804;0.51901;0.43794;0.59051;-1.726029;0.67454;0.62882;0.71595;-2.856689;0.65448;0.61802;0.68823;-6.193316;0.43436;0.17368;0.62384;-0.944125;0.76789;0.69575;0.82678;-1.929573;0.73754;0.67337;0.79188;-7.969166;0.29472;-0.26432;0.62949;-0.741617;0.79207;0.71366;0.85375;-1.476340;0.77814;0.70720;0.83565
2021.11_01-07-2022;AllVaccines;Красноярский край;-10.938752;0.30286;0.28432;0.32099;-6.300052;0.38180;0.35624;0.40653;-9.292894;0.33646;0.32171;0.35095;-5.251392;0.63496;0.60007;0.66743;-3.570521;0.61295;0.58581;0.63870;-4.405633;0.65152;0.63200;0.67024;-3.850621;0.71676;0.64158;0.77932;-1.977684;0.74784;0.71062;0.78141;-2.601909;0.76780;0.73837;0.79471;-2.881976;0.77332;0.65158;0.86020;-1.476544;0.79028;0.75017;0.82549;-1.879069;0.81440;0.78154;0.84351
2021.11_01-07-2022;AllVaccines;Мурманская область;-7.308172;0.50621;0.47290;0.53774;-5.140913;0.40781;0.34460;0.46602;-6.592129;0.49349;0.46489;0.52081;-3.164429;0.75249;0.69769;0.79937;-3.054024;0.60905;0.54118;0.66898;-3.161755;0.72235;0.68515;0.75609;-2.685294;0.78097;0.60504;0.89011;-1.597566;0.74951;0.64124;0.83164;-1.888634;0.80728;0.73707;0.86260;-1.479198;NULL;NULL;NULL;-1.383795;0.77012;0.64894;0.85755;-1.462075;0.83574;0.75558;0.89481
2021.11_01-07-2022;AllVaccines;Псковская область;-10.183294;0.33160;0.29012;0.37103;-5.228391;0.35548;0.29619;0.41069;-8.115704;0.34180;0.30826;0.37398;-5.788041;0.59429;0.49245;0.67943;-2.328126;0.65560;0.58960;0.71333;-3.658928;0.66360;0.61359;0.70854;-2.842700;0.77033;0.53150;0.90444;-1.372777;0.75446;0.62153;0.84969;-2.012043;0.78251;0.68317;0.85695;-0.372393;NULL;NULL;NULL;-0.578413;0.83666;0.73449;0.90728;-0.800966;0.86996;0.79459;0.92333
2021.11_01-07-2022;AllVaccines;Республика Калмыкия;-11.693101;-0.13379;-0.27749;-0.00429;-3.973277;0.29012;0.15421;0.40712;-8.231260;0.01203;-0.09060;0.10626;-5.774753;0.39486;0.20711;0.54561;-2.581097;0.48884;0.34488;0.60618;-4.591695;0.40155;0.28064;0.50568;-3.997769;0.55358;0.14125;0.79420;-0.386697;0.80206;0.65674;0.89640;-1.784915;0.70195;0.54258;0.81597;-5.663691;NULL;NULL;NULL;-0.057801;0.84901;0.66103;0.94715;-1.170227;0.76773;0.53090;0.90279
2021.11_01-07-2022;AllVaccines;Республика Северная Осетия - Алания;-13.874568;0.14358;0.07140;0.21105;-8.433777;0.17499;0.06093;0.27829;-11.485525;0.20939;0.15361;0.26219;-12.342728;0.23178;0.02197;0.40338;-6.465994;0.34708;0.18456;0.48437;-7.407163;0.46764;0.37362;0.55051;-18.952320;-0.14878;-0.99041;0.36530;-4.744346;0.49764;0.22701;0.69208;-6.185764;0.54498;0.36677;0.68263;-11.295547;0.29207;-0.32553;0.65339;-3.420546;0.61341;0.38789;0.77247;-3.960869;0.68587;0.54569;0.79160
2021.11_01-07-2022;AllVaccines;Еврейская автономная область;-12.773823;0.22265;0.10217;0.32965;-5.376708;0.42024;0.28871;0.53168;-9.692751;0.29077;0.20175;0.37160;-10.819806;0.33293;0.06039;0.53840;-3.953559;0.54963;0.40347;0.66652;-7.211676;0.45533;0.32203;0.56726;-9.464528;NULL;NULL;NULL;-1.101510;0.80893;0.59729;0.92579;-2.981270;0.73593;0.50507;0.87625;-4.426051;NULL;NULL;NULL;-0.438367;NULL;NULL;NULL;-1.396135;0.84107;0.64667;0.94407
2021.11_01-07-2022;AllVaccines;Ивановская область;-15.006154;0.11907;0.07643;0.15997;-3.768801;0.36641;0.31768;0.41237;-9.554843;0.22077;0.18942;0.25109;-9.908070;0.39965;0.30796;0.48109;-1.825443;0.62461;0.57351;0.67102;-4.287645;0.60963;0.57113;0.64542;-13.610880;0.19586;-0.18785;0.46755;-0.705999;0.77334;0.69285;0.83751;-2.608116;0.73362;0.66393;0.79202;-14.102002;0.16883;-0.59568;0.59295;-0.209969;0.83924;0.76958;0.89261;-1.184658;0.83871;0.78075;0.88483
2021.11_01-07-2022;AllVaccines;Липецкая область;-18.399251;-0.13471;-0.22128;-0.05407;-4.280232;0.33767;0.26260;0.40648;-11.114982;0.10429;0.05004;0.15574;-10.359600;0.33555;0.20615;0.44600;-2.466541;0.56517;0.48953;0.63195;-4.725917;0.57666;0.52412;0.62445;-10.303961;0.33880;-0.07194;0.60411;-0.760077;0.77922;0.68527;0.85108;-2.028100;0.77612;0.70479;0.83375;-5.192605;0.63778;0.27918;0.83648;-0.530123;0.80807;0.71603;0.87656;-1.106616;0.84425;0.78116;0.89300
2021.11_01-07-2022;AllVaccines;Московская область;-20.187601;0.45171;0.44214;0.46113;-5.969397;0.40858;0.39036;0.42634;-14.422970;0.44412;0.43580;0.45234;-17.309204;0.52620;0.49871;0.55232;-3.466631;0.62096;0.59878;0.64218;-8.183359;0.66901;0.65581;0.68180;-19.345530;0.47350;0.40707;0.53303;-4.362116;0.54497;0.49653;0.58963;-8.979905;0.64030;0.61208;0.66680;-12.016419;0.66316;0.56833;0.73959;-1.529567;0.78534;0.74940;0.81735;-3.312097;0.84458;0.82313;0.86402
2021.11_01-07-2022;AllVaccines;Республика Адыгея;-7.484513;0.21242;0.15140;0.26970;-4.182746;0.37785;0.30267;0.44654;-6.182520;0.28461;0.23868;0.32824;-6.844548;0.27183;0.12407;0.39818;-2.621625;0.56525;0.48256;0.63760;-3.875600;0.51438;0.44933;0.57328;-4.829681;0.45886;-0.00929;0.73438;-1.031062;0.75619;0.62931;0.84842;-1.524389;0.74857;0.64401;0.82867;-5.995618;0.35063;-0.52466;0.76255;-0.649235;0.80202;0.67293;0.89005;-1.055847;0.79523;0.68526;0.87439
2021.11_01-07-2022;AllVaccines;Республика Башкортостан;-15.456911;-0.04714;-0.09401;-0.00217;-5.084469;0.36638;0.31919;0.41092;-11.047187;0.12651;0.09395;0.15803;-11.600440;0.19824;0.08675;0.29736;-2.781796;0.60618;0.55382;0.65374;-5.150264;0.55407;0.51325;0.59210;-8.323179;0.40677;0.24411;0.53855;-2.184756;0.66835;0.59663;0.73012;-3.508329;0.67312;0.62019;0.72016;-2.033886;0.80696;0.60433;0.91991;-1.880802;0.70000;0.61054;0.77330;-1.886079;0.79074;0.73204;0.83936
2021.11_01-07-2022;AllVaccines;Республика Дагестан;-23.699521;-0.85490;-0.96862;-0.74691;-5.846227;0.03802;-0.06496;0.13307;-16.644505;-0.51032;-0.58920;-0.43474;-15.367946;-0.22921;-0.39787;-0.07751;-4.570058;0.21734;0.09033;0.33038;-10.322530;0.03083;-0.06852;0.12275;-16.970226;-0.34954;-1.03488;0.13274;-4.700168;0.19906;-0.09003;0.42557;-9.513879;0.10004;-0.15211;0.30689;-20.666072;-0.62709;NULL;NULL;-2.281915;0.53885;0.28173;0.72151;-5.825416;0.41576;0.15934;0.60876
2021.11_01-07-2022;AllVaccines;Ростовская область;-24.544725;0.11095;0.08978;0.13165;-9.374397;0.30078;0.27625;0.32461;-17.787745;0.20462;0.18922;0.21976;-19.181374;0.29761;0.24651;0.34555;-6.660590;0.48369;0.45278;0.51318;-10.475046;0.51421;0.49228;0.53534;-18.319898;0.32760;0.23441;0.41043;-5.806673;0.54124;0.49581;0.58338;-8.914238;0.58028;0.54747;0.61113;-12.963694;0.51401;0.36709;0.63073;-3.888170;0.67054;0.62376;0.71277;-5.297440;0.73340;0.70003;0.76383
2021.11_01-07-2022;AllVaccines;Алтайский край;-13.285203;0.27102;0.25057;0.29099;-6.602178;0.39611;0.37124;0.42017;-10.470064;0.31591;0.30013;0.33140;-8.284284;0.52622;0.48102;0.56825;-3.671114;0.62894;0.60218;0.65431;-5.664290;0.60253;0.57989;0.62422;-6.962368;0.59368;0.50018;0.67302;-2.067834;0.75630;0.72126;0.78800;-3.560586;0.72800;0.69549;0.75786;-4.674125;0.71045;0.53913;0.82898;-1.285862;0.81842;0.77923;0.85235;-2.136461;0.81294;0.77579;0.84543
2021.11_01-07-2022;AllVaccines;Архангельская область;-5.635117;0.38099;0.34941;0.41129;-5.031383;0.40987;0.36812;0.44931;-5.422117;0.39202;0.36703;0.41618;-3.402840;0.58925;0.52074;0.64978;-2.722154;0.63581;0.59152;0.67629;-2.969172;0.62424;0.58786;0.65806;-1.032451;0.81039;0.65426;0.90739;-0.361060;0.86683;0.81833;0.90532;-0.474360;0.86042;0.81549;0.89694;-0.072683;NULL;NULL;NULL;-0.457703;0.85737;0.80202;0.90067;-0.446600;0.86305;0.81158;0.90360
2021.11_01-07-2022;AllVaccines;Воронежская область;-7.172712;0.19407;0.16876;0.21872;-3.588198;0.35678;0.32575;0.38665;-5.765393;0.25563;0.23622;0.27463;-4.875798;0.42058;0.36877;0.46883;-2.215255;0.54925;0.51432;0.58222;-3.167574;0.54146;0.51500;0.56677;-4.116722;0.49543;0.37087;0.59927;-0.847943;0.74094;0.69156;0.78428;-1.616565;0.71211;0.67017;0.74992;-1.703157;0.73344;0.56981;0.84524;-0.671482;0.76567;0.70694;0.81538;-0.871860;0.79405;0.74742;0.83407
2021.11_01-07-2022;AllVaccines;г. Санкт-Петербург;-4.938388;0.48632;0.47568;0.49677;-4.103801;0.32862;0.30508;0.35153;-4.703805;0.44613;0.43629;0.45582;-2.816014;0.66991;0.64513;0.69332;-1.848359;0.62531;0.59958;0.64979;-2.143375;0.69476;0.67945;0.70951;-2.316740;0.71309;0.64970;0.76731;-0.825857;0.75982;0.72504;0.79131;-1.049194;0.80101;0.77742;0.82272;-1.898083;0.74931;0.64011;0.83141;-0.381506;0.81827;0.78351;0.84888;-0.458540;0.85837;0.83413;0.87997
2021.11_01-07-2022;AllVaccines;Ненецкий автономный округ;-14.599753;0.14735;-0.04766;0.30959;-4.459536;0.45831;0.10242;0.68907;-11.351447;0.20199;0.03409;0.34384;-12.932604;0.23847;-0.46198;0.62706;-2.899669;0.61308;0.12795;0.85530;-7.872792;0.42674;0.04523;0.67214;-12.932604;NULL;NULL;NULL;-6.582689;0.24765;-1.02834;0.76064;-10.622838;0.24907;-0.65690;0.69029;-15.254704;NULL;NULL;NULL;-5.066151;NULL;NULL;NULL;-9.351590;NULL;NULL;NULL
2021.11_01-07-2022;AllVaccines;Новгородская область;-5.335036;0.38666;0.34560;0.42556;-5.102145;0.39933;0.34215;0.45240;-5.247662;0.39165;0.35864;0.42326;-3.452154;0.56895;0.49135;0.63693;-3.037406;0.60258;0.54094;0.65763;-3.132841;0.59758;0.55114;0.64019;-0.377492;NULL;NULL;NULL;-1.396792;0.76407;0.65575;0.84502;-1.118384;0.79373;0.70664;0.86026;-0.385319;NULL;NULL;NULL;-0.819280;0.82092;0.73007;0.88739;-0.691680;0.83528;0.75774;0.89317
2021.11_01-07-2022;AllVaccines;Пензенская область;-7.481750;0.25841;0.22831;0.28749;-5.655067;0.34836;0.31272;0.38241;-6.779741;0.29341;0.27051;0.31567;-5.511952;0.43064;0.35969;0.49485;-4.854570;0.42675;0.38062;0.46996;-5.225213;0.43460;0.39678;0.47040;-4.563975;0.51352;0.30106;0.66967;-3.519578;0.55746;0.47361;0.63016;-3.877905;0.55697;0.48158;0.62320;-3.797509;0.58054;0.25063;0.78175;-3.688947;0.54088;0.44332;0.62406;-3.921232;0.55303;0.46295;0.63043
2021.11_01-07-2022;AllVaccines;Приморский край;-6.281637;0.40578;0.37718;0.43336;-5.678780;0.37897;0.33826;0.41772;-6.121685;0.39637;0.37309;0.41898;-5.446040;0.47397;0.40209;0.53908;-3.938557;0.54079;0.49275;0.58533;-4.700621;0.51682;0.47718;0.55415;-4.368580;0.56190;0.40026;0.68849;-2.572869;0.66778;0.59732;0.72878;-3.205414;0.64355;0.57953;0.70011;-2.090207;0.74782;0.46793;0.90211;-1.818837;0.73789;0.64797;0.80999;-2.085368;0.73849;0.65491;0.80643
2021.11_01-07-2022;AllVaccines;Сахалинская область;-20.261771;0.28756;0.20947;0.35894;-5.150509;0.38228;0.27548;0.47602;-12.931391;0.33053;0.26965;0.38709;-11.196847;0.59131;0.46417;0.69328;-3.662386;0.53173;0.42247;0.62421;-7.329601;0.59972;0.52702;0.66337;-14.835906;0.46937;-0.24587;0.80597;-0.440319;0.85534;0.72361;0.93497;-2.698826;0.82225;0.70396;0.90184;1.000000;NULL;NULL;NULL;-0.272021;0.87225;0.71681;0.95497;-0.961895;0.90572;0.79159;0.96672
2021.11_01-07-2022;AllVaccines;Белгородская область;-20.390740;0.20575;0.17116;0.23889;-4.563510;0.43924;0.40293;0.47364;-12.508177;0.30577;0.28139;0.32936;-15.623920;0.38274;0.30489;0.45217;-3.321290;0.56445;0.51809;0.60705;-7.180268;0.57959;0.54665;0.61041;-12.984777;0.48074;0.31348;0.60930;-2.218228;0.67563;0.60782;0.73377;-4.699478;0.70708;0.65833;0.74994;-6.181226;0.73336;0.57434;0.83927;-1.335127;0.76464;0.70263;0.81623;-2.478271;0.82124;0.77964;0.85648
2021.11_01-07-2022;AllVaccines;Брянская область;-6.353133;0.32745;0.29328;0.36021;-3.725647;0.38727;0.33892;0.43275;-5.386363;0.35029;0.32279;0.37686;-3.046286;0.62991;0.56065;0.69039;-1.839830;0.63178;0.57774;0.68046;-2.309511;0.66331;0.62512;0.69847;-2.606344;0.67015;0.47660;0.80346;-0.806363;0.76578;0.68392;0.83108;-1.213300;0.77483;0.70992;0.82841;-1.747215;0.74873;0.53744;0.87802;-0.437838;0.81357;0.73762;0.87237;-0.688597;0.82821;0.76776;0.87644
2021.11_01-07-2022;AllVaccines;Кемеровская область;-20.995695;0.18500;0.15544;0.21364;-6.292480;0.40180;0.36943;0.43284;-13.993213;0.29139;0.27039;0.31188;-14.621356;0.42118;0.36079;0.47673;-3.834153;0.60346;0.56904;0.63575;-7.248692;0.61015;0.58471;0.63436;-9.441393;0.61312;0.47569;0.72036;-1.704209;0.77817;0.72690;0.82213;-3.421721;0.79102;0.75201;0.82534;-6.027860;0.73960;0.58379;0.84666;-0.998543;0.83606;0.78920;0.87503;-1.965800;0.85983;0.82488;0.88950
2021.11_01-07-2022;AllVaccines;Кировская область;-4.251113;0.35740;0.32993;0.38394;-4.906535;0.39071;0.35540;0.42438;-4.467597;0.36928;0.34772;0.39025;-2.724971;0.54416;0.49917;0.58594;-3.289692;0.55750;0.52265;0.59028;-3.133186;0.52321;0.49417;0.55092;-1.611648;0.68040;0.47736;0.81767;-0.445541;0.85088;0.79454;0.89516;-0.735647;0.79978;0.73737;0.85067;-0.961172;0.76000;0.51311;0.89982;0.001004;0.89695;0.84421;0.93566;-0.187765;0.86298;0.80316;0.90863
2021.11_01-07-2022;AllVaccines;Новосибирская область;-5.770691;0.39123;0.37151;0.41046;-6.651494;0.39186;0.36514;0.41764;-6.094871;0.38467;0.36871;0.40030;-4.270397;0.52613;0.47348;0.57463;-4.091756;0.59530;0.56521;0.62375;-4.411130;0.53070;0.50196;0.55813;-4.506045;0.50494;0.35269;0.62787;-1.997890;0.76173;0.72051;0.79827;-2.661605;0.68243;0.63559;0.72463;-4.010501;0.54950;0.29998;0.72438;-1.647992;0.78954;0.74377;0.82902;-2.110265;0.73025;0.67687;0.77685
2021.11_01-07-2022;AllVaccines;Орловская область;-7.988727;0.34696;0.31287;0.37960;-3.348933;0.46510;0.42260;0.50509;-6.025748;0.39446;0.36838;0.41964;-6.154008;0.48026;0.39408;0.55602;-1.821648;0.65295;0.60464;0.69667;-3.171807;0.64044;0.60312;0.67497;-6.589805;0.44860;0.25456;0.59849;-1.115738;0.73977;0.67799;0.79238;-2.175687;0.72629;0.67487;0.77133;-3.297646;0.68777;0.41263;0.85053;-0.627108;0.79987;0.72631;0.85800;-1.056885;0.82272;0.76492;0.86943
2021.11_01-07-2022;AllVaccines;Республика Крым;-6.388071;0.40179;0.37250;0.42998;-5.958077;0.48117;0.44604;0.51449;-6.247988;0.42851;0.40598;0.45036;-4.858056;0.52568;0.46338;0.58221;-4.045574;0.62377;0.58504;0.65966;-4.457594;0.56968;0.53524;0.60212;-4.401658;0.56263;0.42079;0.67610;-2.258128;0.75705;0.70120;0.80481;-2.923138;0.69067;0.63426;0.74032;-3.801474;0.61123;0.31229;0.79920;-1.511368;0.81274;0.74650;0.86546;-1.923494;0.76949;0.69811;0.82771
2021.11_01-07-2022;AllVaccines;Республика Марий Эл;-5.636206;0.16009;0.07728;0.23624;-2.983016;0.46048;0.38722;0.52675;-4.078617;0.33967;0.28866;0.38758;-2.345986;0.57652;0.46906;0.66581;-1.936489;0.60224;0.52444;0.67006;-1.605716;0.66120;0.61015;0.70696;-1.433276;0.69203;0.43816;0.84666;-0.897588;0.74296;0.63080;0.82809;-0.611902;0.79042;0.71341;0.85105;-6.239498;0.08374;-1.40807;0.68437;-0.116014;0.84883;0.71189;0.93194;-0.335799;0.82632;0.71099;0.90402
2021.11_01-07-2022;AllVaccines;Астраханская область;-18.732592;0.05237;0.00159;0.10073;-8.073744;0.22329;0.15629;0.28588;-14.392370;0.13800;0.09968;0.17485;-14.822186;0.24017;0.13396;0.33448;-5.555408;0.43886;0.36237;0.50797;-8.488151;0.46864;0.41873;0.51495;-11.395474;0.40473;0.15208;0.58934;-4.089480;0.56434;0.43684;0.66857;-5.458062;0.63834;0.55571;0.70836;-9.655758;0.48827;0.07800;0.73207;-2.751972;0.67883;0.55258;0.77656;-3.435937;0.75158;0.66896;0.81760
2021.11_01-07-2022;AllVaccines;г. Москва;-18.691309;0.38810;0.37843;0.39764;-5.715541;0.18190;0.16130;0.20208;-12.633456;0.34479;0.33607;0.35340;-12.712883;0.57388;0.55149;0.59534;-2.803525;0.53665;0.50781;0.56418;-6.996948;0.61567;0.60047;0.63041;-7.153055;0.74665;0.71371;0.77658;-1.903075;0.64634;0.61759;0.67346;-3.769963;0.77076;0.75514;0.78562;-4.682837;0.82341;0.77186;0.86575;-1.354402;0.71318;0.68189;0.74217;-2.588194;0.82755;0.81012;0.84379
2021.11_01-07-2022;AllVaccines;Кабардино-Балкарская Республика;-13.304133;-0.16080;-0.24104;-0.08502;-6.505652;0.21207;0.12840;0.28924;-10.697779;-0.01198;-0.06982;0.04323;-9.414045;0.15488;0.00159;0.28852;-4.433779;0.42957;0.33655;0.51229;-6.511643;0.35016;0.27316;0.42064;-6.408318;0.39880;0.12988;0.59823;-3.174942;0.56172;0.43265;0.66757;-4.320966;0.53968;0.43032;0.63244;-7.091112;0.34339;-0.47985;0.75444;-2.120940;0.67237;0.48970;0.80214;-3.058935;0.64886;0.48016;0.77340
2021.11_01-07-2022;AllVaccines;Курская область;-12.379144;0.23611;0.19153;0.27847;-2.975571;0.48658;0.44181;0.52848;-7.644702;0.35537;0.32488;0.38468;-8.064653;0.48245;0.40632;0.55017;-1.743196;0.64574;0.59918;0.68809;-3.755729;0.64537;0.61164;0.67676;-6.568788;0.56786;0.40234;0.69370;-1.209479;0.71466;0.63820;0.77845;-2.555822;0.73484;0.67912;0.78290;-0.927777;0.88993;0.75290;0.96147;-0.695794;0.78100;0.70806;0.83973;-1.062941;0.84617;0.79777;0.88557
2021.11_01-07-2022;AllVaccines;Нижегородская область;-7.408841;0.33406;0.31691;0.35084;-4.354819;0.38216;0.35762;0.40594;-6.272676;0.35512;0.34128;0.36871;-4.529112;0.56212;0.52673;0.59535;-2.260036;0.62385;0.59791;0.64851;-3.022199;0.64334;0.62486;0.66111;-4.352988;0.57607;0.46705;0.66644;-0.942979;0.77582;0.73281;0.81358;-1.644287;0.76553;0.73072;0.79688;-1.914196;0.76921;0.63256;0.86371;-0.659159;0.80857;0.76522;0.84586;-0.806136;0.83985;0.80672;0.86867
2021.11_01-07-2022;AllVaccines;Пермский край;-7.672481;0.34738;0.32502;0.36912;-6.019337;0.33518;0.30126;0.36772;-7.122170;0.34694;0.32845;0.36500;-4.870721;0.55822;0.51025;0.60238;-3.856267;0.54005;0.50296;0.57493;-4.359879;0.56904;0.54142;0.59533;-3.758233;0.64194;0.49287;0.75457;-1.245770;0.78730;0.73747;0.82986;-1.767744;0.77746;0.73338;0.81593;-4.129607;0.61399;0.36633;0.77858;-0.707978;0.83823;0.78939;0.87840;-1.141373;0.82782;0.78259;0.86584
2021.11_01-07-2022;AllVaccines;Республика Коми;-12.706704;0.35309;0.31864;0.38605;-8.072283;0.35649;0.30379;0.40583;-11.124613;0.36085;0.33254;0.38814;-6.747653;0.63434;0.58213;0.68127;-5.504129;0.53865;0.48451;0.58819;-6.460496;0.60672;0.57156;0.63956;-3.123062;0.80541;0.67354;0.89307;-2.530223;0.74960;0.67178;0.81283;-3.064467;0.78574;0.72700;0.83457;-2.047480;NULL;NULL;NULL;-2.561679;0.74736;0.65085;0.82252;-2.981187;0.79013;0.71456;0.84979
2021.11_01-07-2022;AllVaccines;Республика Тыва;-9.563847;0.21033;0.12224;0.29003;-4.705849;0.27699;0.10266;0.41973;-8.447804;0.22641;0.14929;0.29693;-5.793457;0.49218;0.39559;0.57496;-3.769032;0.39570;0.22795;0.53019;-5.479495;0.46946;0.38833;0.54095;-4.776169;0.56822;0.34913;0.72097;-1.739657;0.65285;0.47515;0.77802;-3.589977;0.62417;0.49617;0.72382;-1.965100;NULL;NULL;NULL;-2.692581;0.53210;0.02238;0.79491;-3.889073;0.59968;0.20282;0.81506
2021.11_01-07-2022;AllVaccines;г. Севастополь;-4.569449;0.43788;0.39498;0.47834;-6.357383;0.37771;0.31666;0.43409;-5.202558;0.40551;0.37022;0.43920;-4.141908;0.48103;0.36884;0.57701;-4.077719;0.57052;0.49734;0.63493;-4.414383;0.48106;0.41303;0.54268;-2.108416;0.68627;0.35762;0.86976;-1.680623;0.77327;0.66539;0.85283;-2.050237;0.70765;0.58637;0.80025;1.000000;NULL;NULL;NULL;-1.471694;0.79094;0.68489;0.86795;-1.525157;0.75798;0.63632;0.84678
2021.11_01-07-2022;AllVaccines;Забайкальский край;-10.688385;0.24375;0.21293;0.27352;-5.291752;0.37151;0.33126;0.40972;-8.781853;0.28694;0.26258;0.31061;-5.063341;0.60770;0.56072;0.65064;-3.240712;0.57639;0.53502;0.61480;-4.544863;0.59580;0.56557;0.62436;-1.478583;0.83963;0.73762;0.90938;-0.325520;0.86759;0.82077;0.90499;-0.860728;0.86436;0.82386;0.89774;0.192690;NULL;NULL;NULL;0.105180;0.91062;0.86103;0.94630;-0.114392;0.91876;0.87644;0.94978
2021.11_01-07-2022;AllVaccines;Ленинградская область;-7.578386;0.29471;0.26865;0.31998;-5.500014;0.36260;0.32487;0.39860;-6.896226;0.31524;0.29389;0.33605;-6.907750;0.34984;0.25876;0.43150;-3.155512;0.59251;0.54649;0.63485;-4.451015;0.52729;0.48651;0.56548;-5.498760;0.46569;0.21855;0.64580;-1.371865;0.76741;0.69527;0.82622;-2.273695;0.71611;0.64625;0.77513;-4.902100;0.51474;0.12278;0.75293;-0.938143;0.80994;0.74298;0.86334;-1.441622;0.78826;0.72279;0.84170
2021.11_01-07-2022;AllVaccines;Магаданская область;-7.946306;0.46535;0.38973;0.53291;-7.409282;0.27093;0.09894;0.41480;-7.763846;0.42907;0.36106;0.49090;-2.716166;0.77791;0.64076;0.87127;-4.458983;0.52671;0.33118;0.67443;-3.633807;0.69812;0.59908;0.77715;-3.940315;NULL;NULL;NULL;-2.230827;0.71989;0.39638;0.89256;-2.402374;0.77835;0.56321;0.90224;-3.116929;NULL;NULL;NULL;-1.083033;NULL;NULL;NULL;-1.281137;NULL;NULL;NULL
2021.11_01-07-2022;AllVaccines;Республика Алтай;-12.275309;0.24200;0.16626;0.31174;-6.001143;0.33687;0.23186;0.42932;-10.013956;0.26770;0.20663;0.32467;-5.262261;0.64244;0.53317;0.73072;-4.358744;0.49243;0.37679;0.58980;-5.859839;0.54390;0.46312;0.61462;-4.075511;NULL;NULL;NULL;-2.994095;0.62169;0.36634;0.78776;-4.612595;0.62683;0.40919;0.77598;-3.880299;NULL;NULL;NULL;-1.602535;0.75349;0.48983;0.89831;-2.998974;0.73411;0.49177;0.87694
2021.11_01-07-2022;AllVaccines;Республика Бурятия;-16.209089;0.07099;0.02440;0.11552;-11.819142;0.27266;0.21595;0.32563;-14.855498;0.13162;0.09527;0.16663;-9.616607;0.42688;0.34268;0.50168;-8.162053;0.48016;0.41985;0.53502;-9.281050;0.43693;0.38643;0.48383;-6.660610;0.58645;0.36048;0.74268;-3.472037;0.74626;0.66509;0.81128;-4.574049;0.69472;0.61365;0.76180;-4.585862;0.69846;0.36001;0.87743;-3.979176;0.71749;0.60999;0.80021;-4.585356;0.69410;0.58748;0.77778
2021.11_01-07-2022;AllVaccines;Рязанская область;-6.352855;0.30044;0.26595;0.33361;-4.278769;0.41931;0.37592;0.46033;-5.593965;0.34204;0.31517;0.36805;-4.382379;0.48792;0.38639;0.57584;-2.374551;0.62879;0.56993;0.68144;-3.008858;0.59998;0.55149;0.64441;-4.673805;0.46019;0.24284;0.62522;-1.601514;0.71382;0.63098;0.78223;-2.303513;0.67037;0.59593;0.73412;-1.993773;0.71517;0.46305;0.86701;-0.889624;0.79213;0.71293;0.85438;-1.054541;0.79499;0.72574;0.85073
